country,region,year,pct_renouvelable,pct_nucleaire,carbon_intensity_elec,rang_renouvelable,rang_carbone
Czechia,Est,2006,4.2,31.1,634.11,19,19
Denmark,Nord,2006,20.2,0.0,635.34,9,20
Greece,Sud,2006,12.9,0.0,743.14,12,21
Poland,Est,2006,2.7,0.0,931.92,22,22
Norway,Nord,2021,99.3,0.0,26.92,1,1
Switzerland,Ouest,2021,66.6,30.7,38.52,6,2
Sweden,Nord,2021,67.4,30.8,41.74,5,3
France,Ouest,2021,22.2,68.9,59.8,18,4
Belgium,Ouest,2021,22.9,50.6,131.79,17,5
Austria,Ouest,2021,79.1,0.0,135.29,3,6
Finland,Nord,2021,52.9,32.7,135.63,8,7
Spain,Ouest,2021,46.4,20.9,193.54,9,8
Croatia,Est,2021,69.7,0.0,210.46,4,9
Portugal,Sud,2021,64.1,0.0,210.48,7,10
Denmark,Nord,2021,79.3,0.0,222.97,2,11
Hungary,Est,2021,19.1,44.3,238.5,20,12
United Kingdom,Autre,2021,39.8,15.0,267.1,14,13
Romania,Est,2021,45.0,19.3,289.96,10,14
Italy,Ouest,2021,40.7,0.0,339.1,12,15
Ireland,Nord,2021,37.1,0.0,351.92,15,16
Netherlands,Ouest,2021,33.5,3.2,351.97,16,17
Greece,Sud,2021,40.8,0.0,383.11,11,18
Germany,Autre,2021,40.2,11.9,394.64,13,19
Bulgaria,Est,2021,21.8,34.9,415.29,19,20
Czechia,Est,2021,12.7,36.7,471.79,22,21
Poland,Est,2021,17.1,0.0,756.36,21,22
Norway,Nord,2004,99.4,0.0,27.88,1,1
Switzerland,Ouest,2004,54.4,42.2,35.23,4,2
Sweden,Nord,2004,45.0,51.1,48.03,5,3
France,Ouest,2004,11.0,79.2,77.19,12,4
Belgium,Ouest,2004,1.8,57.1,247.62,22,5
Austria,Ouest,2004,64.1,0.0,259.34,2,6
Croatia,Est,2004,55.0,0.0,315.07,3,7
Finland,Nord,2004,29.9,26.5,325.37,6,8
Hungary,Est,2004,2.8,35.3,431.33,20,9
Spain,Ouest,2004,18.1,23.0,449.12,11,10
Bulgaria,Est,2004,7.6,40.7,493.71,15,11
Italy,Ouest,2004,18.3,0.0,510.98,10,12
Romania,Est,2004,29.2,9.8,518.15,7,13
Netherlands,Ouest,2004,5.3,3.8,522.74,17,14
United Kingdom,Autre,2004,3.6,20.3,536.02,18,15
Portugal,Sud,2004,27.6,0.0,541.18,8,16
Germany,Autre,2004,9.5,27.4,554.71,14,17
Denmark,Nord,2004,23.7,0.0,581.26,9,18
Ireland,Nord,2004,5.6,0.0,591.27,16,19
Czechia,Est,2004,3.3,31.4,640.17,19,20
Greece,Sud,2004,10.2,0.0,786.16,13,21
Poland,Est,2004,2.1,0.0,941.26,21,22
Norway,Nord,2014,97.9,0.0,33.93,1,1
Switzerland,Ouest,2014,58.0,39.3,34.39,5,2
Sweden,Nord,2014,55.8,42.3,40.18,7,3
France,Ouest,2014,16.6,77.1,52.22,17,4
Austria,Ouest,2014,81.6,0.0,150.45,2,5
Belgium,Ouest,2014,17.1,47.3,189.89,16,6
Croatia,Est,2014,74.0,0.0,226.36,3,7
Finland,Nord,2014,38.6,34.6,226.43,11,8
Spain,Ouest,2014,40.2,20.9,288.99,10,9
Hungary,Est,2014,10.8,53.2,300.1,21,10
Portugal,Sud,2014,60.9,0.0,325.68,4,11
Romania,Est,2014,41.8,18.0,357.06,9,12
Italy,Ouest,2014,43.6,0.0,379.31,8,13
Denmark,Nord,2014,56.1,0.0,400.75,6,14
Ireland,Nord,2014,25.0,0.0,446.25,13,15
United Kingdom,Autre,2014,19.1,18.9,462.88,15,16
Bulgaria,Est,2014,15.8,33.8,487.0,18,17
Netherlands,Ouest,2014,11.4,4.0,521.25,20,18
Germany,Autre,2014,26.2,15.7,521.68,12,19
Czechia,Est,2014,10.8,35.7,530.83,21,20
Greece,Sud,2014,24.5,0.0,667.88,14,21
Poland,Est,2014,12.5,0.0,844.08,19,22
